cod_entidad,cod_sector,Tipo de gasto,Entidad,Sector,Total
1501,15,Inversión,Ministerio de defensa nacional,Defensa y policía,5707501196895
1503,15,Funcionamiento,Caja de retiro de las fuerzas militares,Defensa y policía,9109759000000
1503,15,Inversión,Caja de retiro de las fuerzas militares,Defensa y policía,21805000000
1507,15,Funcionamiento,Instituto casas fiscales del ejército,Defensa y policía,43288000000
1507,15,Inversión,Instituto casas fiscales del ejército,Defensa y policía,28294000000
1508,15,Funcionamiento,"Defensa civil colombiana, guillermo león valencia",Defensa y policía,67251000000
1508,15,Inversión,"Defensa civil colombiana, guillermo león valencia",Defensa y policía,10692145600
1510,15,Funcionamiento,Club militar de oficiales,Defensa y policía,81770000000
1510,15,Inversión,Club militar de oficiales,Defensa y policía,4001000000
1511,15,Funcionamiento,Caja de sueldos de retiro de la policía nacional,Defensa y policía,8405386000000
1511,15,Inversión,Caja de sueldos de retiro de la policía nacional,Defensa y policía,10412257000
1512,15,Funcionamiento,Fondo rotatorio de la policía,Defensa y policía,340204000000
1512,15,Inversión,Fondo rotatorio de la policía,Defensa y policía,3500000000
1516,15,Funcionamiento,Superintendencia de vigilancia y seguridad privada,Defensa y policía,43649000000
1516,15,Inversión,Superintendencia de vigilancia y seguridad privada,Defensa y policía,4900854375
1519,15,Funcionamiento,Hospital militar,Defensa y policía,667386000000
1519,15,Inversión,Hospital militar,Defensa y policía,35000000000
1520,15,Funcionamiento,Agencia logística de las fuerzas militares,Defensa y policía,1042421000000
1520,15,Inversión,Agencia logística de las fuerzas militares,Defensa y policía,1861446000
1521,15,Funcionamiento,Unidad administrativa especial de la justicia penal militar y policial,Defensa y policía,153321000000
1521,15,Inversión,Unidad administrativa especial de la justicia penal militar y policial,Defensa y policía,6356890439
1601,16,Funcionamiento,Policía nacional,Defensa y policía,19426418000000
1601,16,Inversión,Policía nacional,Defensa y policía,592338934390
1701,17,Funcionamiento,Ministerio de agricultura y desarrollo rural,Agricultura y desarrollo rural,496591404984
1701,17,Inversión,Ministerio de agricultura y desarrollo rural,Agricultura y desarrollo rural,441689207769
1702,17,Funcionamiento,Instituto colombiano agropecuario (ica),Agricultura y desarrollo rural,237610142887
1702,17,Inversión,Instituto colombiano agropecuario (ica),Agricultura y desarrollo rural,200316179255
1715,17,Funcionamiento,Autoridad nacional de acuicultura y pesca - aunap,Agricultura y desarrollo rural,25528920771
1715,17,Inversión,Autoridad nacional de acuicultura y pesca - aunap,Agricultura y desarrollo rural,69054702159
1716,17,Funcionamiento,Unidad administrativa especial de gestión de restitución de tierras despojadas,Agricultura y desarrollo rural,79960992420
1716,17,Inversión,Unidad administrativa especial de gestión de restitución de tierras despojadas,Agricultura y desarrollo rural,429356026425
1717,17,Funcionamiento,Agencia nacional de tierras - ant,Agricultura y desarrollo rural,77865379577
1717,17,Inversión,Agencia nacional de tierras - ant,Agricultura y desarrollo rural,547000302309
1718,17,Funcionamiento,Agencia de desarrollo rural - adr,Agricultura y desarrollo rural,52163543228
1718,17,Inversión,Agencia de desarrollo rural - adr,Agricultura y desarrollo rural,321936887577
1901,19,Funcionamiento,Ministerio de salud y protección social,Salud y protección social,75400514967744
1901,19,Inversión,Ministerio de salud y protección social,Salud y protección social,1797979443506
1903,19,Funcionamiento,Instituto nacional de salud (ins),Salud y protección social,61007000000
1903,19,Inversión,Instituto nacional de salud (ins),Salud y protección social,66919614403
1910,19,Funcionamiento,Superintendencia nacional de salud,Salud y protección social,296784000000
1910,19,Inversión,Superintendencia nacional de salud,Salud y protección social,217223931659
1912,19,Funcionamiento,Instituto nacional de vigilancia de medicamentos y alimentos - invima,Salud y protección social,224525000000
1912,19,Inversión,Instituto nacional de vigilancia de medicamentos y alimentos - invima,Salud y protección social,162655457473
1913,19,Funcionamiento,Fondo de previsión social del congreso ,Salud y protección social,499871000000
1914,19,Funcionamiento,Fondo pasivo social de ferrocarriles nacionales de colombia ,Salud y protección social,968251000000
1914,19,Inversión,Fondo pasivo social de ferrocarriles nacionales de colombia ,Salud y protección social,2000000000
2101,21,Funcionamiento,Ministerio de minas y energía,Minas y energía,380375203409
2101,21,Deuda,Ministerio de minas y energía,Minas y energía,3459701281
2101,21,Inversión,Ministerio de minas y energía,Minas y energía,5283961708123
2103,21,Funcionamiento,Servicio geológico colombiano,Minas y energía,76683046685
2103,21,Inversión,Servicio geológico colombiano,Minas y energía,60049498258
2109,21,Funcionamiento,Unidad de planeacion minero energética - upme,Minas y energía,51976348950
2109,21,Inversión,Unidad de planeacion minero energética - upme,Minas y energía,41049177229
2110,21,Funcionamiento,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,Minas y energía,23030412315
2110,21,Inversión,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,Minas y energía,52000000000
2111,21,Funcionamiento,Agencia nacional de hidrocarburos - anh,Minas y energía,885554597329
2111,21,Inversión,Agencia nacional de hidrocarburos - anh,Minas y energía,423150687113
2112,21,Funcionamiento,Agencia nacional de minería - anm,Minas y energía,163306967079
2112,21,Inversión,Agencia nacional de minería - anm,Minas y energía,92589984078
2201,22,Funcionamiento,Ministerio de educación nacional,Educación,75829673734318
2201,22,Inversión,Ministerio de educación nacional,Educación,3203548198496
2209,22,Funcionamiento,Instituto nacional para sordos (insor),Educación,9733644000
2209,22,Inversión,Instituto nacional para sordos (insor),Educación,9374469137
2210,22,Funcionamiento,Instituto nacional para ciegos (inci),Educación,9581842000
2210,22,Inversión,Instituto nacional para ciegos (inci),Educación,3479780620
2234,22,Funcionamiento,Escuela tecnológica instituto técnico central,Educación,53242154953
2234,22,Inversión,Escuela tecnológica instituto técnico central,Educación,21638738558
2238,22,Funcionamiento,Instituto nacional de formación técnica profesional de san andres y providencia,Educación,9360169144
2238,22,Inversión,Instituto nacional de formación técnica profesional de san andres y providencia,Educación,7393642070
