Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,Ingreso_alt,IPC,Valor_25
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",1033153900000.0,2306.0,23.0,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,1939712424333.736
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,2789700000.0,2306.0,23.0,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,5237569882.051284
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,294174900000.0,2306.0,23.0,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,552303687240.7241
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,28164000000.0,2309.0,23.0,Tecnologías de la información y las comunicaciones,Agencia nacional del espectro - ane,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,52876982527.90349
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",421787267543.0,2402.0,24.0,Transporte,Instituto nacional de vías,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,791891704884.3689
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,132144900000.0,2402.0,24.0,Transporte,Instituto nacional de vías,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,248097698070.28665
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,171457751262.0,2412.0,24.0,Transporte,Unidad administrativa especial de la aeronáutica civil,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,321906281698.4234
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,283632100000.0,2412.0,24.0,Transporte,Unidad administrativa especial de la aeronáutica civil,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,532509927426.9483
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,6000000000.0,2412.0,24.0,Transporte,Unidad administrativa especial de la aeronáutica civil,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,11264802413.273005
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,73224746670.0,2413.0,24.0,Transporte,Agencia nacional de infraestructura,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,137477050499.92007
