Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Apropiación a precios corrientes,Apropiación a precios constantes (2026)
2013,Minas y energía,21,Agencia nacional de hidrocarburos - anh,2111,Inversión,313820000000.0,619829999999.9999
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Funcionamiento,62949500000.0,124332383484.16289
2013,Minas y energía,21,Agencia nacional de minería - anm,2112,Inversión,16408700000.0,32409038687.7828
2013,Educación,22,Ministerio de educación nacional,2201,Funcionamiento,23403735052458.0,46225024209945.32
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Funcionamiento,4157198202.0,8210936720.239818
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Inversión,600740000.0,1186529457.0135744
2013,Educación,22,Instituto tolimense de formación técnica profesional,2241,Funcionamiento,9748127797.0,19253655128.4638
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Inversión,1698315701.0,3354365626.635746
2013,Educación,22,Instituto nacional de formación técnica profesional de san juan del cesar,2239,Funcionamiento,3265827018.0,6450377797.995474
2013,Educación,22,Instituto nacional de formación técnica profesional de san andres y providencia,2238,Inversión,786950000.0,1554315271.4932125
2013,Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Inversión,59990871333.0,118488757180.33708
2013,Educación,22,Instituto nacional de formación técnica profesional de san andres y providencia,2238,Funcionamiento,2588567943.0,5112714511.852941
2013,Educación,22,Escuela tecnológica instituto técnico central,2234,Funcionamiento,12710813248.0,25105294039.601807
