Año,Ingreso,Ingreso_alt,Ingreso específico,Valor,Valor a precios constantes (2026)
2015,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,103088800000000.0,183979262146507.66
2015,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,65830088653748.0,117484839648494.72
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,333560312000.0,562943480052.4111
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,57838174379.0,97612401696.01611
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES PATRONALES,10713298417.0,18080632727.391045
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES,2873522182212.0,4849589471730.144
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES DE LA NACIÓN,479510507151.0,809260885981.185
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS ADMINISTRADOS DEL FOSYGA,3084114249.0,5205001751.561164
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS POR U.P.C. REGIMEN CONTRIBUTIVO,79804660000.0,134684827326.81775
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,762481767293.0,1286826172402.7712
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,1267285054492.0,2138773208708.7625
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,3489978888858.0,5889971889111.225
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",3459728449991.0,5838918791016.924
2016,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,1286589663977.0,2171353235928.9634
2016,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,1559218832671.0,2631464368659.875
2016,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,18703443427251.0,31565450544068.543
2016,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,118696488000000.0,200321835724626.78
2016,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,62851114633168.0,106072646906411.98
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,336071951000.0,544885951095.12994
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,65723545152.0,106560027705.17209
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES PATRONALES,14081352000.0,22830619617.00371
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES,3153879620318.0,5113502306404.979
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES DE LA NACIÓN,614095375589.0,995655667767.8029
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS ADMINISTRADOS DEL FOSYGA,3174317000.0,5146638190.053652
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS POR U.P.C. REGIMEN CONTRIBUTIVO,88911000000.0,144154710482.87247
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,579665712636.0,939833574944.501
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,2173192139207.0,3523477226114.197
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,3345224948939.0,5423737602933.083
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",2492216429797.0,4040723171464.0996
2017,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,1556386477138.0,2523427270093.5337
2017,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,1660311220533.0,2691924321033.3843
2017,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,18980957501423.0,30774532209797.875
2017,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,119296473000000.0,193419807750928.6
2017,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,70061307721965.0,113593003460891.23
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,378522206000.0,594809794508.3999
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,65514863000.0,102950055718.2
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES PATRONALES,12464607000.0,19586883439.8
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES,3458680720000.0,5434970883408.0
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES DE LA NACIÓN,522366355857.0,820846491593.6897
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS ADMINISTRADOS DEL FOSYGA,3336000000.0,5242190400.0
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS POR U.P.C. REGIMEN CONTRIBUTIVO,95097000000.0,149435425800.0
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,407985777122.0,641108850169.5107
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,549784118420.0,863930763685.188
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,2896307451167.0,4551257528763.823
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",3806827596229.0,5982048884714.25
2018,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,1810628053919.0,2845220923928.3164
2018,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,1933745679865.0,3038687961339.861
2018,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,11372146375984.0,17870190815221.258
2018,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,139987878000000.0,219976951489199.97
2018,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,68252521925298.0,107252012953413.27
2019,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES DE LOS ESTABLECIMIENTOS PÚBLICOS,3742131252155.0,5665110837799.968
2019,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES ESTABLECIMIENTOS PÚBLICOS,539078072630.0,816095648680.9075
2019,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS CORRIENTES,8127883560440.0,12304582106816.393
