Año,Ingreso,Ingreso_alt,Ingreso específico,Valor,Valor a precios constantes (2026)
2024,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,140819678957957.0,152736087461715.66
2025,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES DE LOS ESTABLECIMIENTOS PÚBLICOS,5956937650677.0,6147456376353.737
2025,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES ESTABLECIMIENTOS PÚBLICOS,973436411295.0,1004569499381.9943
2025,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS CORRIENTES,13344677214076.0,13771475519931.057
2025,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,7033412590348.0,7258359850576.505
2025,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,4031689853309.0,4160634028692.2974
2025,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,18119471887411.0,18698980839218.254
2025,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES DE LA NACIÓN,305777927000000.0,315557519201287.1
2025,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL DE LA NACIÓN,155769579849588.0,160751505730375.34
2026,INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,INGRESOS CORRIENTES,314136625000000.0,314136625000000.0
2026,INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,RECURSOS DE CAPITAL,176188909485331.0,176188909485331.0
2026,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,4263020043872.0,4263020043872.0
2026,INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES DE LA NACIÓN,FONDOS ESPECIALES DE LA NACIÓN,17482810297839.0,17482810297839.0
2026,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS CORRIENTES,14372122089169.0,14372122089169.0
