ENTIDAD,CONCEPTO,NACION,PROPIOS,TOTAL,Tipo de gasto,Código de entidad,Código de sector,Sector,TOTAL %
Agencia nacional de hidrocarburos - anh,Adquisición de bienes y servicios,0.0,14023.3,14023.3,Funcionamiento,2111,21,Minas y energía,0.0026527728002279987
Agencia nacional de hidrocarburos - anh,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,2111,21,Minas y energía,0.0
Agencia nacional de hidrocarburos - anh,Gastos comerc. y produccion,0.0,52933.9,52933.9,Funcionamiento,2111,21,Minas y energía,0.010013449767885511
Agencia nacional de hidrocarburos - anh,Gastos de personal,0.0,47887.5,47887.5,Funcionamiento,2111,21,Minas y energía,0.009058827627656708
Agencia nacional de hidrocarburos - anh,Inversion,0.0,385888.4,385888.4,Inversion,2111,21,Minas y energía,0.07299809969433031
Agencia nacional de hidrocarburos - anh,Servicio de la deuda,0.0,7538.1,7538.1,Servicio de la deuda,2111,21,Minas y energía,0.0014259743887243858
Agencia nacional de hidrocarburos - anh,Transferencias,0.0,2111887.0,2111887.0,Funcionamiento,2111,21,Minas y energía,0.39950342578102926
Agencia nacional de hidrocarburos - anh,"Tributos, multas, sanciones, interés",0.0,8550.4,8550.4,Funcionamiento,2111,21,Minas y energía,0.001617470106969792
Agencia nacional de infraestructura,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,2413,24,Transporte,0.0
Agencia nacional de infraestructura,Adquisición de bienes y servicios,0.0,30797.4,30797.4,Funcionamiento,2413,24,Transporte,0.00582591152137812
Agencia nacional de infraestructura,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,2413,24,Transporte,0.0
Agencia nacional de infraestructura,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,2413,24,Transporte,0.0
Agencia nacional de infraestructura,Gastos de personal,0.0,80768.1,80768.1,Funcionamiento,2413,24,Transporte,0.015278815885426044
Agencia nacional de infraestructura,Inversion,7169261.0,184511.2,7353772.2,Inversion,2413,24,Transporte,1.391105294134249
