IPC,Año
0.020084182180135295,1954
0.020084182180135295,1955
0.020084182180135295,1956
0.020084182180135295,1957
0.02677890957351373,1958
0.02677890957351373,1959
0.02677890957351373,1960
0.03347363696689216,1961
0.03347363696689216,1962
0.04016836436027059,1963
0.04686309175364903,1964
0.05355781914702746,1965
0.06025254654040589,1966
0.06694727393378432,1967
0.06694727393378432,1968
0.07364200132716275,1969
0.08033672872054118,1970
0.09372618350729806,1971
0.10711563829405492,1972
0.1271998204741902,1973
0.1673681848344608,1974
0.1941470944079745,1975
0.24101018616162356,1976
0.3146521874887863,1977
0.3749047340291922,1978
0.4820203723232471,1979
0.6025254654040589,1980
0.7631989228451411,1981
0.943956562466359,1982
1.1046300199074413,1983
1.3054718417087943,1984
1.5933451196240669,1985
1.9280814892929885,1986
2.3967124068294785,1987
3.0661851461673217,1988
3.869552433372734,1989
5.121466455934501,1990
6.493885571577079,1991
8.127399055561417,1992
9.968449088740485,1993
12.217877492915639,1994
14.594505717564981,1995
17.754417047239603,1996
20.894244194734085,1997
24.38219716668425,1998
26.638320298252783,1999
28.968085431148474,2000
31.184040198356737,2001
33.35982660120472,2002
35.52891827665934,2003
37.48377867552584,2004
39.2980497991314,2005
41.058763103589925,2006
43.39522296387899,2007
46.72919720578145,2008
47.666459040854434,2009
49.17277270436458,2010
51.007128010150275,2011
52.252347305318665,2012
53.263251141718804,2013
55.21141681319193,2014
58.947074698697094,2015
62.33460675974658,2016
64.88529789662377,2017
66.94727393378432,2018
69.49127034326813,2019
70.6159845453557,2020
74.58595788962911,2021
84.37364933874838,2022
92.19978566160776,2023
96.99321047526672,2024
99.99999999999999,2025
