Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Año,apropiacion_corrientes,Apropiación a precios corrientes
Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Inversión,2025,50649000000.0,50649000000.0
Salud y protección social,19,Fondo de previsión social del congreso ,1913,Funcionamiento,2025,434073887000.0,434073887000.0
Salud y protección social,19,Fondo de previsión social del congreso ,1913,Inversión,2025,500000000.0,500000000.0
Salud y protección social,19,Fondo pasivo social de ferrocarriles nacionales de colombia ,1914,Funcionamiento,2025,842723447000.0,842723447000.0
Salud y protección social,19,Fondo pasivo social de ferrocarriles nacionales de colombia ,1914,Inversión,2025,1900500000.0,1900500000.0
Salud y protección social,19,Instituto nacional de salud (ins),1903,Funcionamiento,2025,61080047000.0,61080047000.0
Salud y protección social,19,Instituto nacional de salud (ins),1903,Inversión,2025,62680604677.0,62680604677.0
Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Funcionamiento,2025,182243290000.0,182243290000.0
Salud y protección social,19,Instituto nacional de vigilancia de medicamentos y alimentos - invima,1912,Inversión,2025,60520761562.0,60520761562.0
Salud y protección social,19,Ministerio de salud y protección social,1901,Funcionamiento,2025,63216256287273.0,63216256287273.0
Salud y protección social,19,Ministerio de salud y protección social,1901,Inversión,2025,1886900174049.0,1886900174049.0
Salud y protección social,19,Superintendencia nacional de salud,1910,Funcionamiento,2025,239012900000.0,239012900000.0
Salud y protección social,19,Superintendencia nacional de salud,1910,Inversión,2025,87198844691.0,87198844691.0
Servicio de la deuda pública nacional,14,Servicio de la deuda pública nacional,1401,Deuda,2025,109828422000000.0,109828422000000.0
"Sistema integral de verdad, justicia, reparación y no repetición",44,Jurisdicción especial para la paz,4401,Funcionamiento,2025,547711000000.0,547711000000.0
"Sistema integral de verdad, justicia, reparación y no repetición",44,Jurisdicción especial para la paz,4401,Inversión,2025,189521300973.0,189521300973.0
"Sistema integral de verdad, justicia, reparación y no repetición",44,Unidad de búsqueda de personas dadas por desaparecidas en el contexto y en razón del conflicto armado (ubpd),4403,Funcionamiento,2025,117569000000.0,117569000000.0
"Sistema integral de verdad, justicia, reparación y no repetición",44,Unidad de búsqueda de personas dadas por desaparecidas en el contexto y en razón del conflicto armado (ubpd),4403,Inversión,2025,76273000000.0,76273000000.0
Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Funcionamiento,2025,22024741401.0,22024741401.0
Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Inversión,2025,27314426599.0,27314426599.0
Tecnologías de la información y las comunicaciones,23,Computadores para educar cpe,2311,Funcionamiento,2025,27442872600.0,27442872600.0
Tecnologías de la información y las comunicaciones,23,Computadores para educar cpe,2311,Inversión,2025,147562268400.0,147562268400.0
Tecnologías de la información y las comunicaciones,23,Corporación agencia nacional de gobierno digital - and,2312,Funcionamiento,2025,5231290000.0,5231290000.0
Tecnologías de la información y las comunicaciones,23,Corporación agencia nacional de gobierno digital - and,2312,Inversión,2025,131722000296.0,131722000296.0
Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Funcionamiento,2025,599534016000.0,599534016000.0
Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Inversión,2025,1551973115714.0,1551973115714.0
Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Funcionamiento,2025,127996875000.0,127996875000.0
Tecnologías de la información y las comunicaciones,23,Unidad administrativa especial comisión de regulación de las comunicaciones ,2308,Funcionamiento,2025,38833930000.0,38833930000.0
Tecnologías de la información y las comunicaciones,23,Unidad administrativa especial comisión de regulación de las comunicaciones ,2308,Inversión,2025,18016917000.0,18016917000.0
Trabajo,36,Ministerio del trabajo,3601,Funcionamiento,2025,46609015048309.0,46609015048309.0
Trabajo,36,Ministerio del trabajo,3601,Inversión,2025,440592840646.0,440592840646.0
Trabajo,36,Servicio nacional de aprendizaje (sena),3602,Funcionamiento,2025,127990194000.0,127990194000.0
Trabajo,36,Servicio nacional de aprendizaje (sena),3602,Inversión,2025,6139428050018.0,6139428050018.0
Trabajo,36,Unidad administrativa especial de organizaciones solidarias,3612,Funcionamiento,2025,10352398000.0,10352398000.0
Trabajo,36,Unidad administrativa especial de organizaciones solidarias,3612,Inversión,2025,45000000000.0,45000000000.0
Trabajo,36,Unidad administrativa especial del servicio público de empleo,3613,Funcionamiento,2025,15043360000.0,15043360000.0
Trabajo,36,Unidad administrativa especial del servicio público de empleo,3613,Inversión,2025,17000000000.0,17000000000.0
Transporte,24,Agencia nacional de infraestructura,2413,Funcionamiento,2025,134319232110.0,134319232110.0
Transporte,24,Agencia nacional de infraestructura,2413,Deuda,2025,2013839757091.0,2013839757091.0
Transporte,24,Agencia nacional de infraestructura,2413,Inversión,2025,7382206818592.0,7382206818592.0
Transporte,24,Agencia nacional de seguridad vial,2416,Funcionamiento,2025,29644186000.0,29644186000.0
Transporte,24,Agencia nacional de seguridad vial,2416,Inversión,2025,174455608437.0,174455608437.0
Transporte,24,Comisión de regulación de infraestructura y transporte,2415,Funcionamiento,2025,1407199000.0,1407199000.0
Transporte,24,Instituto nacional de vías,2402,Funcionamiento,2025,220812175000.0,220812175000.0
Transporte,24,Instituto nacional de vías,2402,Deuda,2025,601876014.0,601876014.0
Transporte,24,Instituto nacional de vías,2402,Inversión,2025,3464357634368.0,3464357634368.0
Transporte,24,Ministerio de transporte,2401,Funcionamiento,2025,315303412000.0,315303412000.0
Transporte,24,Ministerio de transporte,2401,Deuda,2025,6797215826.0,6797215826.0
Transporte,24,Ministerio de transporte,2401,Inversión,2025,129575000000.0,129575000000.0
Transporte,24,Superintendencia de puertos y transporte,2417,Funcionamiento,2025,60447831028.0,60447831028.0
Transporte,24,Superintendencia de puertos y transporte,2417,Inversión,2025,37067526073.0,37067526073.0
Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Funcionamiento,2025,837409834774.0,837409834774.0
Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Inversión,2025,2283951000000.0,2283951000000.0
Transporte,24,Unidad de planeación del sector de infraestructura de transporte,2414,Funcionamiento,2025,18098365000.0,18098365000.0
Transporte,24,Unidad de planeación del sector de infraestructura de transporte,2414,Inversión,2025,16500000000.0,16500000000.0
"Vivienda, ciudad y territorio",40,Fondo nacional de vivienda - fonvivienda,4002,Funcionamiento,2025,8800000000.0,8800000000.0
"Vivienda, ciudad y territorio",40,Fondo nacional de vivienda - fonvivienda,4002,Inversión,2025,2659636589387.0,2659636589387.0
"Vivienda, ciudad y territorio",40,"Ministerio de vivienda, ciudad y territorio",4001,Funcionamiento,2025,4343076194403.0,4343076194403.0
"Vivienda, ciudad y territorio",40,"Ministerio de vivienda, ciudad y territorio",4001,Inversión,2025,1614293994900.0,1614293994900.0
