Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,Apropiación a precios corrientes,IPC,apropiacion_cons_2025,Apropiación a precios constantes (2025)
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Funcionamiento,70433000000.0,70433000000.0,53.263251141718804,132235638062.3429,132235638062.3429
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Inversión,13130000000.0,13130000000.0,53.263251141718804,24651142614.37909,24651142614.37909
2013,Justicia y el derecho,12,Ministerio de justicia y del derecho,1201,Funcionamiento,54680087196.0,54680087196.0,53.263251141718804,102660063033.91318,102660063033.91318
2013,Justicia y el derecho,12,Ministerio de justicia y del derecho,1201,Inversión,52369975978.0,52369975978.0,53.263251141718804,98322905296.6706,98322905296.6706
2013,Justicia y el derecho,12,Superintendencia de notariado y registro,1204,Funcionamiento,374715717755.0,374715717755.0,53.263251141718804,703516420276.3082,703516420276.3082
2013,Justicia y el derecho,12,Superintendencia de notariado y registro,1204,Inversión,355311000000.0,355311000000.0,53.263251141718804,667084701710.4073,667084701710.4073
2013,Justicia y el derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Funcionamiento,886834038549.0,886834038549.0,53.263251141718804,1665001702936.5698,1665001702936.5698
2013,Justicia y el derecho,12,Instituto nacional penitenciario y carcelario - inpec,1208,Inversión,4430632570.0,4430632570.0,53.263251141718804,8318366744.4769945,8318366744.4769945
2013,Justicia y el derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Funcionamiento,231492057800.0,231492057800.0,53.263251141718804,434618715226.49554,434618715226.49554
2013,Justicia y el derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Inversión,59808000000.0,59808000000.0,53.263251141718804,112287550455.5053,112287550455.5053
2013,Justicia y el derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Funcionamiento,24839769682.0,24839769682.0,53.263251141718804,46635849576.48986,46635849576.48986
2013,Justicia y el derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Inversión,1072000000.0,1072000000.0,53.263251141718804,2012644697.8381097,2012644697.8381097
2013,Justicia y el derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Funcionamiento,381636487014.0,381636487014.0,53.263251141718804,716509936651.3896,716509936651.3896
2013,Justicia y el derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Inversión,124900515028.0,124900515028.0,53.263251141718804,234496603851.0759,234496603851.0759
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Funcionamiento,10196721395655.0,10196721395655.0,53.263251141718804,19144008630874.484,19144008630874.484
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Inversión,1281520325472.0,1281520325472.0,53.263251141718804,2406012209172.565,2406012209172.565
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Funcionamiento,9968562438.0,9968562438.0,53.263251141718804,18715647701.4075,18715647701.4075
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Inversión,8925290168.0,8925290168.0,53.263251141718804,16756938370.608034,16756938370.608034
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Funcionamiento,8003640406.0,8003640406.0,53.263251141718804,15026571293.41302,15026571293.41302
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Inversión,4041000000.0,4041000000.0,53.263251141718804,7586844425.339367,7586844425.339367
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Funcionamiento,1003604100000.0,1003604100000.0,53.263251141718804,1884233647941.78,1884233647941.78
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Inversión,393499045796.0,393499045796.0,53.263251141718804,738781500117.2341,738781500117.2341
2013,Hacienda,13,Unidad de información y análisis financiero,1312,Funcionamiento,6676112721.0,6676112721.0,53.263251141718804,12534181781.800566,12534181781.800566
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Funcionamiento,165774000000.0,165774000000.0,53.263251141718804,311235225876.31976,311235225876.31976
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Inversión,14897359000.0,14897359000.0,53.263251141718804,27969300935.765713,27969300935.765713
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Funcionamiento,167013000000.0,167013000000.0,53.263251141718804,313561407574.66064,313561407574.66064
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Inversión,6450000000.0,6450000000.0,53.263251141718804,12109662594.268478,12109662594.268478
2013,Hacienda,13,Fondo adaptación,1315,Funcionamiento,20643000000.0,20643000000.0,53.263251141718804,38756552702.86577,38756552702.86577
2013,Hacienda,13,Fondo adaptación,1315,Inversión,1860000000000.0,1860000000000.0,53.263251141718804,3492088748114.631,3492088748114.631
2013,Servicio de la deuda pública nacional,14,Servicio de la deuda pública nacional,1401,Deuda,45109198935564.0,45109198935564.0,53.263251141718804,84691035505025.55,84691035505025.55
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Funcionamiento,10273024534968.0,10273024534968.0,53.263251141718804,19287265262186.715,19287265262186.715
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Inversión,2372393000000.0,2372393000000.0,53.263251141718804,4454089731938.663,4454089731938.663
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Funcionamiento,1755362257450.0,1755362257450.0,53.263251141718804,3295634832315.1846,3295634832315.1846
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Inversión,9040000000.0,9040000000.0,53.263251141718804,16972302302.664658,16972302302.664658
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Funcionamiento,20903385000.0,20903385000.0,53.263251141718804,39245416965.59578,39245416965.59578
