Año,Sector,Etapa,Valor
2024,Tecnologías de la información y las comunicaciones,Apropiación,4053116393700.0
2024,Tecnologías de la información y las comunicaciones,Compromiso,3834374211887.61
2024,Tecnologías de la información y las comunicaciones,Obligación,2884881725137.22
2024,Tecnologías de la información y las comunicaciones,Pago,2591958068102.25
2024,Trabajo,Apropiación,40174994210283.0
2024,Trabajo,Compromiso,36868923645183.97
2024,Trabajo,Obligación,32402239488773.11
2024,Trabajo,Pago,32361082243755.37
2024,Transporte,Apropiación,14331461795910.0
2024,Transporte,Compromiso,13723420555212.72
2024,Transporte,Obligación,6085288740221.55
2024,Transporte,Pago,5980453665211.4
2024,"Vivienda, ciudad y territorio",Apropiación,9141143100719.0
2024,"Vivienda, ciudad y territorio",Compromiso,9078128733029.14
2024,"Vivienda, ciudad y territorio",Obligación,5369428815578.16
2024,"Vivienda, ciudad y territorio",Pago,5369056644207.96
