Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,apropiacion_cons_2024,Apropiación a precios corrientes en millones,Apropiación a precios constantes (2024) en millones
2013,Justicia y el derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Funcionamiento,231492057800,408470034595.9769,231492.06,408470.03
2013,Justicia y el derecho,12,Dirección nacional de estupefacientes en liquidación,1209,Inversion,59808000000,105531809865.4708,59808.0,105531.81
2013,Justicia y el derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Funcionamiento,24839769682,43830020251.18565,24839.77,43830.02
2013,Justicia y el derecho,12,Unidad administrativa especial agencia nacional de defensa jurídica del estado,1210,Inversion,1072000000,1891554644.45868,1072.0,1891.55
2013,Justicia y el derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Funcionamiento,381636487014,673401370808.0471,381636.49,673401.37
2013,Justicia y el derecho,12,Unidad de servicios penitenciarios y carcelarios - uspec,1211,Inversion,124900515028,220388198970.6106,124900.52,220388.2
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Funcionamiento,10196721395655,17992216151308.22,10196721.4,17992216.15
2013,Hacienda,13,Ministerio de hacienda y crédito público,1301,Inversion,1281520325472,2261255339192.874,1281520.33,2261255.34
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Funcionamiento,9968562438,17589627405.01422,9968.56,17589.63
2013,Hacienda,13,Unidad administrativa especial contaduría general de la nación,1308,Inversion,8925290168,15748763125.39346,8925.29,15748.76
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Funcionamiento,8003640406,14122502968.79334,8003.64,14122.5
2013,Hacienda,13,Superintendencia de la economía solidaria,1309,Inversion,4041000000,7130384625.24023,4041.0,7130.38
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Funcionamiento,1003604100000,1770869399769.378,1003604.1,1770869.4
2013,Hacienda,13,Unidad administrativa especial dirección de impuestos y aduanas nacionales,1310,Inversion,393499045796,694332973568.5472,393499.05,694332.97
2013,Hacienda,13,Unidad de información y análisis financiero,1312,Funcionamiento,6676112721,11780067186.88174,6676.11,11780.07
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Funcionamiento,165774000000,292509869058.2959,165774.0,292509.87
2013,Hacienda,13,Superintendencia financiera de colombia,1313,Inversion,14897359000,26286537879.30813,14897.36,26286.54
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Funcionamiento,167013000000,294696096860.9865,167013.0,294696.1
2013,Hacienda,13,Unidad administrativa especial de gestión  pensional y contribuciones parafiscales de la protección social (ugppp),1314,Inversion,6450000000,11381089045.48366,6450.0,11381.09
2013,Hacienda,13,Fondo adaptación,1315,Funcionamiento,20643000000,36424778475.33632,20643.0,36424.78
2013,Hacienda,13,Fondo adaptación,1315,Inversion,1860000000000,3281988468930.172,1860000.0,3281988.47
2013,Servicio de la deuda pública nacional,14,Servicio de la deuda pública nacional,1401,Deuda,45109198935564,79595629435052.83,45109198.94,79595629.44
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Funcionamiento,10273024534968,18126853798280.5,10273024.53,18126853.8
2013,Defensa y policía,15,Ministerio de defensa nacional,1501,Inversion,2372393000000,4186111005253.042,2372393.0,4186111.01
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Funcionamiento,1755362257450,3097354133196.848,1755362.26,3097354.13
2013,Defensa y policía,15,Caja de retiro de las fuerzas militares,1503,Inversion,9040000000,15951169762.97245,9040.0,15951.17
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Funcionamiento,20903385000,36884230393.3376,20903.38,36884.23
2013,Defensa y policía,15,Instituto casas fiscales del ejército,1507,Inversion,48316000000,85254061755.28506,48316.0,85254.06
2013,Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Funcionamiento,22393573000,39513681916.20756,22393.57,39513.68
2013,Defensa y policía,15,"Defensa civil colombiana, guillermo león valencia",1508,Inversion,1707000000,3012018449.711723,1707.0,3012.02
2013,Defensa y policía,15,Club militar de oficiales,1510,Funcionamiento,36746653072,64839834222.62447,36746.65,64839.83
2013,Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Funcionamiento,2161155900000,3813381044817.424,2161155.9,3813381.04
2013,Defensa y policía,15,Caja de sueldos de retiro de la policía nacional,1511,Inversion,1950000000,3440794362.588084,1950.0,3440.79
2013,Defensa y policía,15,Fondo rotatorio de la policía,1512,Funcionamiento,313287000000,552798022293.4016,313287.0,552798.02
2013,Defensa y policía,15,Fondo rotatorio de la policía,1512,Inversion,8000000000,14116079436.25881,8000.0,14116.08
2013,Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Funcionamiento,10150100000,17909952235.74632,10150.1,17909.95
2013,Defensa y policía,15,Superintendencia de vigilancia y seguridad privada,1516,Inversion,500000000,882254964.7661754,500.0,882.25
2013,Defensa y policía,15,Hospital militar,1519,Funcionamiento,205925008000,363356721355.0288,205925.01,363356.72
2013,Defensa y policía,15,Hospital militar,1519,Inversion,9197000000,16228197821.90903,9197.0,16228.2
2013,Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Funcionamiento,952944357669,1681479781398.779,952944.36,1681479.78
2013,Defensa y policía,15,Agencia logística de las fuerzas militares,1520,Inversion,25800000000,45524356181.93465,25800.0,45524.36
2013,Defensa y policía,15,Policía nacional,1601,Funcionamiento,6908123036777,12189451692824.19,6908123.04,12189451.69
