TOTAL,Código de entidad,Tipo de gasto,Código de sector,Sector,Entidad,Año
4575000000,1516,Inversión,15,Defensa y policía,Superintendencia de vigilancia y seguridad privada,2025
519740000000,1519,Funcionamiento,15,Defensa y policía,Hospital militar,2025
46400000000,1519,Inversión,15,Defensa y policía,Hospital militar,2025
828963000000,1520,Funcionamiento,15,Defensa y policía,Agencia logística de las fuerzas militares,2025
6500000000,1520,Inversión,15,Defensa y policía,Agencia logística de las fuerzas militares,2025
175754000000,1521,Funcionamiento,15,Defensa y policía,Unidad administrativa especial de la justicia penal militar y policial,2025
11227362144,1521,Inversión,15,Defensa y policía,Unidad administrativa especial de la justicia penal militar y policial,2025
16989377000000,1601,Funcionamiento,16,Defensa y policía,Policía nacional,2025
244562549467,1601,Inversión,16,Defensa y policía,Policía nacional,2025
436853554000,1701,Funcionamiento,17,Agricultura y desarrollo rural,Ministerio de agricultura y desarrollo rural,2025
1097072964088,1701,Inversión,17,Agricultura y desarrollo rural,Ministerio de agricultura y desarrollo rural,2025
219595508000,1702,Funcionamiento,17,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2025
270668107733,1702,Inversión,17,Agricultura y desarrollo rural,Instituto colombiano agropecuario (ica),2025
24417000000,1715,Funcionamiento,17,Agricultura y desarrollo rural,Autoridad nacional de acuicultura y pesca - aunap,2025
73520013996,1715,Inversión,17,Agricultura y desarrollo rural,Autoridad nacional de acuicultura y pesca - aunap,2025
80608731000,1716,Funcionamiento,17,Agricultura y desarrollo rural,Unidad administrativa especial de gestión de restitución de tierras despojadas,2025
455420835664,1716,Inversión,17,Agricultura y desarrollo rural,Unidad administrativa especial de gestión de restitución de tierras despojadas,2025
82539448000,1717,Funcionamiento,17,Agricultura y desarrollo rural,Agencia nacional de tierras - ant,2025
1570644076174,1717,Inversión,17,Agricultura y desarrollo rural,Agencia nacional de tierras - ant,2025
57526196000,1718,Funcionamiento,17,Agricultura y desarrollo rural,Agencia de desarrollo rural - adr,2025
656674002345,1718,Inversión,17,Agricultura y desarrollo rural,Agencia de desarrollo rural - adr,2025
63192352924489,1901,Funcionamiento,19,Salud y protección social,Ministerio de salud y protección social,2025
1886900174049,1901,Inversión,19,Salud y protección social,Ministerio de salud y protección social,2025
61080047000,1903,Funcionamiento,19,Salud y protección social,Instituto nacional de salud (ins),2025
62680604677,1903,Inversión,19,Salud y protección social,Instituto nacional de salud (ins),2025
239012900000,1910,Funcionamiento,19,Salud y protección social,Superintendencia nacional de salud,2025
147198844691,1910,Inversión,19,Salud y protección social,Superintendencia nacional de salud,2025
182243290000,1912,Funcionamiento,19,Salud y protección social,Instituto nacional de vigilancia de medicamentos y alimentos - invima,2025
60520761562,1912,Inversión,19,Salud y protección social,Instituto nacional de vigilancia de medicamentos y alimentos - invima,2025
434073887000,1913,Funcionamiento,19,Salud y protección social,Fondo de previsión social del congreso ,2025
500000000,1913,Inversión,19,Salud y protección social,Fondo de previsión social del congreso ,2025
842723447000,1914,Funcionamiento,19,Salud y protección social,Fondo pasivo social de ferrocarriles nacionales de colombia ,2025
1900500000,1914,Inversión,19,Salud y protección social,Fondo pasivo social de ferrocarriles nacionales de colombia ,2025
213507113200,2101,Funcionamiento,21,Minas y energía,Ministerio de minas y energía,2025
3459701281,2101,Deuda,21,Minas y energía,Ministerio de minas y energía,2025
6651165204240,2101,Inversión,21,Minas y energía,Ministerio de minas y energía,2025
77090638784,2103,Funcionamiento,21,Minas y energía,Servicio geológico colombiano,2025
114937956623,2103,Inversión,21,Minas y energía,Servicio geológico colombiano,2025
37050677000,2109,Funcionamiento,21,Minas y energía,Unidad de planeacion minero energética - upme,2025
36479831271,2109,Inversión,21,Minas y energía,Unidad de planeacion minero energética - upme,2025
27129264823,2110,Funcionamiento,21,Minas y energía,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2025
137762840337,2110,Inversión,21,Minas y energía,Instituto de planificación y promoción de soluciones  energéticas para las zonas no interconectadas - ipse,2025
3064210361082,2111,Funcionamiento,21,Minas y energía,Agencia nacional de hidrocarburos - anh,2025
385890000000,2111,Inversión,21,Minas y energía,Agencia nacional de hidrocarburos - anh,2025
372516686000,2112,Funcionamiento,21,Minas y energía,Agencia nacional de minería - anm,2025
116615000000,2112,Inversión,21,Minas y energía,Agencia nacional de minería - anm,2025
64666847437906,2201,Funcionamiento,22,Educación,Ministerio de educación nacional,2025
5661042732911,2201,Inversión,22,Educación,Ministerio de educación nacional,2025
49826078281,2234,Funcionamiento,22,Educación,Escuela tecnológica instituto técnico central,2025
19207038725,2234,Inversión,22,Educación,Escuela tecnológica instituto técnico central,2025
8747852389,2238,Funcionamiento,22,Educación,Instituto nacional de formación técnica profesional de san andres y providencia,2025
8217481969,2238,Inversión,22,Educación,Instituto nacional de formación técnica profesional de san andres y providencia,2025
11137346365,2239,Funcionamiento,22,Educación,Instituto nacional de formación técnica profesional de san juan del cesar,2025
9388000000,2239,Inversión,22,Educación,Instituto nacional de formación técnica profesional de san juan del cesar,2025
30444508468,2241,Funcionamiento,22,Educación,Instituto tolimense de formación técnica profesional,2025
8184071470,2241,Inversión,22,Educación,Instituto tolimense de formación técnica profesional,2025
15041341108,2242,Funcionamiento,22,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2025
12125395223,2242,Inversión,22,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2025
16318707345,2246,Funcionamiento,22,Educación,Unidad administrativa especial alimentación escolar,2025
2105728519128,2246,Inversión,22,Educación,Unidad administrativa especial alimentación escolar,2025
6433355555940,2257,Funcionamiento,22,Educación,Entes autónomos universitarios estatales - universidades públicas,2025
189134997201,2257,Inversión,22,Educación,Entes autónomos universitarios estatales - universidades públicas,2025
127996875000,2301,Funcionamiento,23,Tecnologías de la información y las comunicaciones,Ministerio de tecnologías de la información y las comunicaciones,2025
599534016000,2306,Funcionamiento,23,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2025
1636783512553,2306,Inversión,23,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,2025
